Nombre,Precio,Tipo
Nike One,$899,Camiseta de tirantes de correr Dri-FIT con gráfico para mujer
Nike Zoom Bella 6,"$2,099",Tenis de entrenamiento para mujer
NikeCourt Dri-FIT Victory,$999,Falda de tenis para mujer
NikeCourt Victory,$899,Camiseta de tirantes de tenis para mujer
Nike Air Force 1 '07 Next Nature,"$2,599",Tenis para mujer
Nike Sportswear Club Essentials,$649,Playera para mujer
Nike Fast,"$2,149",Chamarra de correr Repel para mujer
NikeCourt Vision Mid,"$2,199",Tenis para mujer
Nike Sportswear Phoenix Plush,"$1,799",Pants de tejido Fleece cálidos de piernas anchas y tiro alto para mujer
Nike Waffle Debut,"$1,799",Tenis para mujer
Nike Sportswear,$999,Playera de manga corta holgada con gráfico para mujer
Nike Air Max Nuaxis,"$1,999",Tenis para mujer
Nike Sportswear Chill Knit,"$1,299",Leggings acampanados de tela de minicanalé ajustados para mujer
Nike Cortez Vintage Suede,"$2,299",Tenis para mujer
Nike Therma-FIT ADV Repel AeroLoft,"$3,699",Chaleco de running para mujer
Nike Sportswear Chill Knit,$999,Playera de manga larga slim cropped para mujer
Nike Blazer Mid '77,"$2,499",Tenis para mujer
Nike Universa,"$2,199",Leggings de largo completo y tiro alto de media sujeción con bolsillos para mujer
Nike Sportswear Classic,$799,Shorts de ciclismo de tiro alto de 20 cm para mujer
Nike Air Max 270,"$3,799",Tenis para mujer
Jordan Sport,$899,Bra Jumpman de media sujeción con almohadillas para mujer
Nike Sportswear Essential,"$3,699",Chamarra de piel sintética estampada holgada para mujer
Nike Court Vision Low Next Nature,"$1,799",Tenis para mujer
Nike Alate Minimalist,$949,Bra deportivo convertible con almohadillas de baja sujeción para mujer
Nike One,$899,Camiseta de tirantes de correr Dri-FIT con gráfico para mujer
Nike Zoom Bella 6,"$2,099",Tenis de entrenamiento para mujer
NikeCourt Dri-FIT Victory,$999,Falda de tenis para mujer
NikeCourt Victory,$899,Camiseta de tirantes de tenis para mujer
Nike Air Force 1 '07 Next Nature,"$2,599",Tenis para mujer
Nike Sportswear Club Essentials,$649,Playera para mujer
Nike Fast,"$2,149",Chamarra de correr Repel para mujer
NikeCourt Vision Mid,"$2,199",Tenis para mujer
Nike Sportswear Phoenix Plush,"$1,799",Pants de tejido Fleece cálidos de piernas anchas y tiro alto para mujer
Nike Waffle Debut,"$1,799",Tenis para mujer
Nike Sportswear,$999,Playera de manga corta holgada con gráfico para mujer
Nike Air Max Nuaxis,"$1,999",Tenis para mujer
Nike Sportswear Chill Knit,"$1,299",Leggings acampanados de tela de minicanalé ajustados para mujer
Nike Cortez Vintage Suede,"$2,299",Tenis para mujer
Nike Therma-FIT ADV Repel AeroLoft,"$3,699",Chaleco de running para mujer
Nike Sportswear Chill Knit,$999,Playera de manga larga slim cropped para mujer
Nike Blazer Mid '77,"$2,499",Tenis para mujer
Nike Universa,"$2,199",Leggings de largo completo y tiro alto de media sujeción con bolsillos para mujer
Nike Sportswear Classic,$799,Shorts de ciclismo de tiro alto de 20 cm para mujer
Nike Air Max 270,"$3,799",Tenis para mujer
Jordan Sport,$899,Bra Jumpman de media sujeción con almohadillas para mujer
Nike Sportswear Essential,"$3,699",Chamarra de piel sintética estampada holgada para mujer
Nike Court Vision Low Next Nature,"$1,799",Tenis para mujer
Nike Alate Minimalist,$949,Bra deportivo convertible con almohadillas de baja sujeción para mujer
Nike Alate Coverage,"$1,049",Bra deportivo de media sujeción con almohadillas para mujer
Nike Universa,"$2,199",Leggings de 7/8 de tiro alto y sujeción media con bolsillos para mujer
Nike Pegasus 41 PRM,"$3,099",Tenis de correr en pavimento para mujer
Nike Running Division,"$1,799",Playera de correr de manga larga para mujer
Nike Pro Indy Plunge,"$1,099",Bra deportivo de media sujeción con almohadillas para mujer
Nike Running Division,"$1,599",Shorts de correr reflejantes sin forro de 8 cm para mujer
Nike V2K Run,"$2,799",Tenis para mujer
Nike Sportswear Phoenix Cozy Bouclé,"$3,199",Cárdigan de tejido Knit oversized para mujer
Pumas UNAM alternativo 2024/25 Stadium,"$1,899",Jersey de fútbol Nike Dri-FIT Replica para mujer
Nike Motiva GORE-TEX,"$3,299",Tenis de caminata impermeables para mujer
Nike Go,"$2,599",Leggings de tiro alto de 7/8 de sujeción firme con bolsillos para mujer
Nike Pro Swoosh Asymmetrical,$999,Bra deportivo de media sujeción con almohadillas para mujer
Nike Revolution 7,"$1,699",Tenis de correr en pavimento para mujer
Nike Pro Indy Plunge,"$1,099",Bra deportivo de media sujeción con almohadillas para mujer
Nike Running Division,"$5,299",Chamarra de correr reflejante Therma-FIT para mujer
Nike Dunk Low LX,"$2,699",Tenis para mujer
Air Jordan 4RM,"$3,499",Tenis para mujer
Nike Air Force 1 Sage Low,"$2,799",Tenis para mujer
Nike Blazer Low Platform,"$2,399",Tenis para mujer
Nike Pegasus 41,"$2,999",Tenis de correr en pavimento para mujer
Nike SB Zoom Pogo Plus,"$2,149",Tenis de skateboarding para mujer
Nike Sportswear,"$1,599",Bolsa tipo tote de piel sintética (10 L)
Nike Sportswear Classic Puffer,"$2,099",Chaleco holgado Therma-FIT para mujer
Nike Court Vision Low Next Nature,"$1,799",Tenis para mujer
Nike Air Max Axis,"$1,049",Tenis para mujer
Nike Air Max Axis,"$1,049",Tenis para mujer
Nike Air Max Command,"$1,299",Tenis para mujer
Nike Air Force 1 Sage Low,"$1,679",Tenis para mujer
Nike Blazer Low Platform,"$1,439",Tenis para mujer
Nike Blazer Low Platform,"$1,439",Tenis para mujer
Nike Court Legacy Next Nature,"$1,189",Calzado para mujer
Nike Dunk Low Premium,"$2,099",Tenis para mujer
Nike Air Max INTRLK Lite,"$1,199",Calzado para mujer
Nike SB Alleyoop,$949,Calzado de skateboarding para mujer
Nike MC Trainer 3,"$1,439",Tenis de entrenamiento para mujer
Nike Air Force 1 '07,"$1,559",Tenis para mujer
Nike Air Force 1 Shadow,"$1,859",Calzado para mujer
Nike Court Vision Low Next Nature,"$1,259",Tenis para mujer
Nike Air Max Bolt,"$1,099",Tenis para mujer
Nike Zoom Air Fire,"$1,349",Tenis para mujer
Nike Air Max 90,"$2,099",Calzado para mujer
Nike Gamma Force,"$1,609",Calzado para mujer
Nike Sportswear Chill Knit,$909,Leggings acampanados de tela de minicanalé ajustados para mujer
Nike In-Season TR 13,"$1,399",Tenis de entrenamiento para mujer
Nike Zoom Air Fire,"$1,349",Tenis para mujer
Nike Sportswear Club Fleece,"$1,119",Sudadera con gorro de cierre completo para mujer
Nike Sportswear,"$1,519",Pants de French Terry de tiro bajo oversized con dobladillo abierto para mujer
Nike Air Max 270,"$1,899",Tenis para mujer
Nike One,$899,Camiseta de tirantes de correr Dri-FIT con gráfico para mujer
Nike Zoom Bella 6,"$2,099",Tenis de entrenamiento para mujer
NikeCourt Dri-FIT Victory,$999,Falda de tenis para mujer
NikeCourt Victory,$899,Camiseta de tirantes de tenis para mujer
Nike Air Force 1 '07 Next Nature,"$2,599",Tenis para mujer
Nike Sportswear Club Essentials,$649,Playera para mujer
